Date,Channel,Source,Campaign,Ad Set,Spend,Impressions,Clicks,Conversions,Video Views
2022-01-07,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-04,3020.02,8,1,0,9
2022-01-07,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-04,166720.26,406,42,4,427
2022-01-07,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-04,57851.7,141,15,1,145
2022-01-07,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-04,175735.39,443,46,4,456
2022-01-07,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-04,54371.93,131,14,1,136
2022-01-07,Programmatic,Amazon_Ad_Server,Automated uniform software,06-04,52732.47,133,14,1,140
2022-01-07,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-04,49602.87,122,13,1,127
2022-01-07,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-04,4692.73,12,1,0,12
2022-01-14,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-04,3033.02,8,1,0,8
2022-01-14,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-04,168231.71,427,45,4,449
2022-01-14,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-04,56804.67,137,14,1,143
2022-01-14,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-04,176002.06,447,47,5,461
2022-01-14,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-04,54397.41,134,14,1,142
2022-01-14,Programmatic,Amazon_Ad_Server,Automated uniform software,06-04,54103.98,138,14,1,143
2022-01-14,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-04,49393.25,124,13,1,129
2022-01-14,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-04,4711.69,12,1,0,12
2022-01-21,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-04,2982.19,7,1,0,8
2022-01-21,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-04,167844.55,418,43,4,446
2022-01-21,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-04,57870.6,141,15,1,149
2022-01-21,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-04,176559.59,433,45,5,455
2022-01-21,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-04,54057.7,135,14,1,140
2022-01-21,Programmatic,Amazon_Ad_Server,Automated uniform software,06-04,53434.53,131,14,1,137
2022-01-21,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-04,49082.39,120,13,1,127
2022-01-21,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-04,4652.2,12,1,0,12
2022-01-28,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-04,2041.66,5,1,0,5
2022-01-28,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-04,112833.73,283,30,3,301
2022-01-28,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-04,38156.49,96,10,1,99
2022-01-28,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-04,116935.36,282,29,3,301
2022-01-28,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-04,36906.58,91,10,1,95
2022-01-28,Programmatic,Amazon_Ad_Server,Automated uniform software,06-04,36223.28,91,10,1,97
2022-01-28,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-04,33749.94,84,9,1,90
2022-01-28,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-04,3116.39,8,1,0,8
2022-02-04,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-04,1478.37,4,0,0,4
2022-02-04,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-04,79434.83,198,21,2,207
2022-02-04,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-04,27394.88,68,7,1,71
2022-02-04,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-04,84595.79,211,22,2,218
2022-02-04,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-04,26792.44,65,7,1,67
2022-02-04,Programmatic,Amazon_Ad_Server,Automated uniform software,06-04,26040.44,65,7,1,68
2022-02-04,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-04,24158.45,60,6,1,62
2022-02-04,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-04,2256.51,6,1,0,6
2022-02-11,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-04,1474.99,4,0,0,4
2022-02-11,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-04,80325.98,201,21,2,210
2022-02-11,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-04,28093.27,69,7,1,71
2022-02-11,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-04,86499.4,211,22,2,225
2022-02-11,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-04,26890.79,65,7,1,69
2022-02-11,Programmatic,Amazon_Ad_Server,Automated uniform software,06-04,25387.73,64,7,1,67
2022-02-11,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-04,23731.95,58,6,1,62
2022-02-11,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-04,2308.93,6,1,0,6
2022-02-18,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-04,2157.02,6,1,0,6
2022-02-18,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-04,119773.18,304,32,3,315
2022-02-18,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-04,41129.36,102,11,1,106
2022-02-18,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-04,127714.61,312,33,3,334
2022-02-18,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-04,39593.21,95,10,1,99
2022-02-18,Programmatic,Amazon_Ad_Server,Automated uniform software,06-04,38673.13,95,10,1,98
2022-02-18,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-04,36264.77,88,9,1,91
2022-02-18,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-04,3397.08,9,1,0,9
2022-02-25,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-04,2159.56,5,1,0,6
2022-02-25,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-04,120636.26,304,32,3,316
2022-02-25,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-04,41140.64,103,11,1,108
2022-02-25,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-04,126409.22,303,31,3,323
2022-02-25,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-04,38912.18,99,11,1,102
2022-02-25,Programmatic,Amazon_Ad_Server,Automated uniform software,06-04,39014.25,99,10,1,102
2022-02-25,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-04,36055.63,84,9,1,89
2022-02-25,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-04,3474.48,8,1,0,9
2022-03-04,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-01,3591.63,9,1,0,9
2022-03-04,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-01,197725.05,495,52,5,515
2022-03-04,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-01,68824.04,171,18,2,177
2022-03-04,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-01,212516.67,526,56,5,554
2022-03-04,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-01,64663.09,162,17,2,173
2022-03-04,Programmatic,Amazon_Ad_Server,Automated uniform software,06-01,64001.86,158,17,2,169
2022-03-04,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-01,60063.6,149,16,2,155
2022-03-04,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-01,5461.98,13,1,0,14
2022-03-11,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-01,2340.72,6,1,0,6
2022-03-11,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-01,131151.6,314,33,3,325
2022-03-11,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-01,45347.98,108,11,1,113
2022-03-11,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-01,137264.85,330,35,4,346
2022-03-11,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-01,42557.92,103,11,1,110
2022-03-11,Programmatic,Amazon_Ad_Server,Automated uniform software,06-01,41916.65,106,11,1,109
2022-03-11,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-01,38829.95,97,10,1,102
2022-03-11,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-01,3690.92,9,1,0,10
2022-03-18,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-01,2332.44,6,1,0,6
2022-03-18,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-01,132750.28,334,36,4,356
2022-03-18,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-01,44190.63,107,11,1,111
2022-03-18,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-01,139423.02,348,37,4,369
2022-03-18,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-01,43568.51,108,12,1,112
2022-03-18,Programmatic,Amazon_Ad_Server,Automated uniform software,06-01,42804.46,109,12,1,116
2022-03-18,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-01,39745.19,98,10,1,101
2022-03-18,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-01,3752.37,9,1,0,10
2022-03-25,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-01,2380.4,6,1,0,6
2022-03-25,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-01,131430.79,345,36,4,365
2022-03-25,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-01,44662.21,110,11,1,113
2022-03-25,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-01,141536.54,345,36,4,366
2022-03-25,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-01,43520.42,105,11,1,110
2022-03-25,Programmatic,Amazon_Ad_Server,Automated uniform software,06-01,42493.13,106,11,1,110
2022-03-25,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-01,38645.98,94,10,1,99
2022-03-25,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-01,3657.32,9,1,0,10
2022-04-01,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-01,3026.53,8,1,0,8
2022-04-01,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-01,163578.32,410,43,4,429
2022-04-01,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-01,57805.94,143,15,1,151
2022-04-01,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-01,178699.77,440,46,4,463
2022-04-01,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-01,55040.84,136,14,1,141
2022-04-01,Programmatic,Amazon_Ad_Server,Automated uniform software,06-01,52339.28,133,14,1,140
2022-04-01,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-01,48903.28,124,13,1,132
2022-04-01,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-01,4737.69,12,1,0,12
2022-04-08,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-01,3026.4,8,1,0,8
2022-04-08,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-01,164331.85,403,43,4,430
2022-04-08,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-01,56524.79,139,15,1,145
2022-04-08,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-01,175892.25,429,45,4,442
2022-04-08,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-01,55388.51,132,14,1,138
2022-04-08,Programmatic,Amazon_Ad_Server,Automated uniform software,06-01,53270.19,131,14,1,137
2022-04-08,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-01,49071.04,127,13,1,132
2022-04-08,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-01,4717.34,11,1,0,12
2022-04-15,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-01,3070.58,8,1,0,8
2022-04-15,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-01,166759.47,415,43,4,442
2022-04-15,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-01,57731.59,146,15,2,151
2022-04-15,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-01,175981.51,440,46,4,463
2022-04-15,Programmatic,Amazon_Ad_Server,Centralized modular throughput,05-01,54536.63,143,15,2,149
2022-04-15,Programmatic,Amazon_Ad_Server,Automated uniform software,06-01,53312.68,127,13,1,132
2022-04-15,Programmatic,Amazon_Ad_Server,Cross-platform static hierarchy,07-01,50232.95,124,13,1,131
2022-04-15,Programmatic,Amazon_Ad_Server,Networked value-added time-frame,08-01,4654.19,12,1,0,12
2022-04-22,Programmatic,Amazon_Ad_Server,Business-focused zero tolerance architecture,01-01,1990.42,5,1,0,5
2022-04-22,Programmatic,Amazon_Ad_Server,Persistent 24/7 attitude,02-01,109310.8,268,28,3,283
2022-04-22,Programmatic,Amazon_Ad_Server,Integrated dedicated contingency,03-01,38486.43,96,10,1,101
2022-04-22,Programmatic,Amazon_Ad_Server,Profound intangible policy,04-01,118926.33,289,30,3,298
