Date,Channel,Source,Campaign,Ad Set,Spend,Impressions,Clicks,Conversions,Video Views
2022-01-07,Paid_Social,LinkedIn,Business-focused zero tolerance architecture,01-04,149039.16,378,40,4,405
2022-01-07,Paid_Social,LinkedIn,Persistent 24/7 attitude,02-04,98629.42,250,26,2,263
2022-01-07,Paid_Social,LinkedIn,Integrated dedicated contingency,03-04,60369.6,149,16,2,159
2022-01-07,Paid_Social,LinkedIn,Profound intangible policy,04-04,6441.5,15,2,0,16
2022-01-07,Paid_Social,LinkedIn,Centralized modular throughput,05-04,44347.64,114,12,1,118
2022-01-07,Paid_Social,LinkedIn,Automated uniform software,06-04,3288.06,8,1,0,9
2022-01-07,Paid_Social,LinkedIn,Cross-platform static hierarchy,07-04,61107.03,148,16,1,156
2022-01-07,Paid_Social,LinkedIn,Networked value-added time-frame,08-04,60848.43,150,16,2,160
2022-01-14,Paid_Social,LinkedIn,Business-focused zero tolerance architecture,01-04,135001.45,326,35,3,341
2022-01-14,Paid_Social,LinkedIn,Persistent 24/7 attitude,02-04,88780.27,222,23,2,233
2022-01-14,Paid_Social,LinkedIn,Integrated dedicated contingency,03-04,55010.24,134,14,1,139
2022-01-14,Paid_Social,LinkedIn,Profound intangible policy,04-04,5745.94,13,1,0,14
2022-01-14,Paid_Social,LinkedIn,Centralized modular throughput,05-04,39170.67,100,10,1,104
2022-01-14,Paid_Social,LinkedIn,Automated uniform software,06-04,3042.99,7,1,0,8
2022-01-14,Paid_Social,LinkedIn,Cross-platform static hierarchy,07-04,56040.99,131,14,1,140
2022-01-14,Paid_Social,LinkedIn,Networked value-added time-frame,08-04,54252.37,130,14,1,137
2022-01-21,Paid_Social,LinkedIn,Business-focused zero tolerance architecture,01-04,132882.58,340,35,4,359
2022-01-21,Paid_Social,LinkedIn,Persistent 24/7 attitude,02-04,89429.91,220,23,2,233
2022-01-21,Paid_Social,LinkedIn,Integrated dedicated contingency,03-04,56271.58,138,15,1,142
2022-01-21,Paid_Social,LinkedIn,Profound intangible policy,04-04,5841.01,14,1,0,15
2022-01-21,Paid_Social,LinkedIn,Centralized modular throughput,05-04,40135.56,102,11,1,108
2022-01-21,Paid_Social,LinkedIn,Automated uniform software,06-04,3051.92,7,1,0,8
