Date,Channel,Source,Campaign,Ad Set,Spend,Impressions,Clicks,Conversions,Video Views
2022-01-07,Programmatic,StackAdapt,Business-focused zero tolerance architecture,01-04,112291.97,274,29,3,286
2022-01-07,Programmatic,StackAdapt,Persistent 24/7 attitude,02-04,2937.0,7,1,0,7
2022-01-07,Programmatic,StackAdapt,Integrated dedicated contingency,03-04,30750.39,76,8,1,81
2022-01-07,Programmatic,StackAdapt,Profound intangible policy,04-04,10378.54,25,3,0,27
2022-01-07,Programmatic,StackAdapt,Centralized modular throughput,05-04,158766.94,402,42,4,429
2022-01-07,Programmatic,StackAdapt,Automated uniform software,06-04,82913.85,204,22,2,217
2022-01-07,Programmatic,StackAdapt,Cross-platform static hierarchy,07-04,20775.23,53,6,1,55
2022-01-07,Programmatic,StackAdapt,Networked value-added time-frame,08-04,144964.99,354,37,4,366
2022-01-14,Programmatic,StackAdapt,Business-focused zero tolerance architecture,01-04,112925.04,286,29,3,296
2022-01-14,Programmatic,StackAdapt,Persistent 24/7 attitude,02-04,2969.61,7,1,0,8
2022-01-14,Programmatic,StackAdapt,Integrated dedicated contingency,03-04,31057.65,77,8,1,81
2022-01-14,Programmatic,StackAdapt,Profound intangible policy,04-04,10109.66,26,3,0,27
2022-01-14,Programmatic,StackAdapt,Centralized modular throughput,05-04,161596.09,405,43,4,426
2022-01-14,Programmatic,StackAdapt,Automated uniform software,06-04,84971.32,214,22,2,226
2022-01-14,Programmatic,StackAdapt,Cross-platform static hierarchy,07-04,20638.6,52,5,1,55
2022-01-14,Programmatic,StackAdapt,Networked value-added time-frame,08-04,146354.44,361,38,4,378
2022-01-21,Programmatic,StackAdapt,Business-focused zero tolerance architecture,01-04,108881.36,267,29,3,275
2022-01-21,Programmatic,StackAdapt,Persistent 24/7 attitude,02-04,2947.39,7,1,0,7
2022-01-21,Programmatic,StackAdapt,Integrated dedicated contingency,03-04,30392.71,75,8,1,80
2022-01-21,Programmatic,StackAdapt,Profound intangible policy,04-04,10298.35,25,3,0,27
2022-01-21,Programmatic,StackAdapt,Centralized modular throughput,05-04,161892.4,389,41,4,412
2022-01-21,Programmatic,StackAdapt,Automated uniform software,06-04,83384.23,202,21,2,212
2022-01-21,Programmatic,StackAdapt,Cross-platform static hierarchy,07-04,20333.57,49,5,1,52
2022-01-21,Programmatic,StackAdapt,Networked value-added time-frame,08-04,147338.97,381,40,4,393
2022-01-28,Programmatic,StackAdapt,Business-focused zero tolerance architecture,01-04,72873.47,180,19,2,188
2022-01-28,Programmatic,StackAdapt,Persistent 24/7 attitude,02-04,1982.59,5,1,0,5
2022-01-28,Programmatic,StackAdapt,Integrated dedicated contingency,03-04,20736.02,52,5,1,54
2022-01-28,Programmatic,StackAdapt,Profound intangible policy,04-04,6750.55,16,2,0,17
2022-01-28,Programmatic,StackAdapt,Centralized modular throughput,05-04,108052.76,269,28,3,284
2022-01-28,Programmatic,StackAdapt,Automated uniform software,06-04,55516.74,132,14,1,136
2022-01-28,Programmatic,StackAdapt,Cross-platform static hierarchy,07-04,13869.63,34,4,0,35
2022-01-28,Programmatic,StackAdapt,Networked value-added time-frame,08-04,97145.2,246,26,3,263
2022-02-04,Programmatic,StackAdapt,Business-focused zero tolerance architecture,01-04,52735.38,132,14,1,137
2022-02-04,Programmatic,StackAdapt,Persistent 24/7 attitude,02-04,1453.68,4,0,0,4
2022-02-04,Programmatic,StackAdapt,Integrated dedicated contingency,03-04,14835.6,36,4,0,39
2022-02-04,Programmatic,StackAdapt,Profound intangible policy,04-04,5030.57,12,1,0,13
2022-02-04,Programmatic,StackAdapt,Centralized modular throughput,05-04,75639.53,186,19,2,191
2022-02-04,Programmatic,StackAdapt,Automated uniform software,06-04,41119.75,105,11,1,111
2022-02-04,Programmatic,StackAdapt,Cross-platform static hierarchy,07-04,10198.85,26,3,0,27
2022-02-04,Programmatic,StackAdapt,Networked value-added time-frame,08-04,69867.27,174,18,2,180
2022-02-11,Programmatic,StackAdapt,Business-focused zero tolerance architecture,01-04,54148.19,136,14,1,141
2022-02-11,Programmatic,StackAdapt,Persistent 24/7 attitude,02-04,1439.22,3,0,0,4
2022-02-11,Programmatic,StackAdapt,Integrated dedicated contingency,03-04,15152.21,38,4,0,40
2022-02-11,Programmatic,StackAdapt,Profound intangible policy,04-04,5013.5,12,1,0,12
2022-02-11,Programmatic,StackAdapt,Centralized modular throughput,05-04,78100.88,194,21,2,204
2022-02-11,Programmatic,StackAdapt,Automated uniform software,06-04,41386.88,102,11,1,107
2022-02-11,Programmatic,StackAdapt,Cross-platform static hierarchy,07-04,10078.3,25,3,0,26
2022-02-11,Programmatic,StackAdapt,Networked value-added time-frame,08-04,72221.58,180,19,2,188
2022-02-18,Programmatic,StackAdapt,Business-focused zero tolerance architecture,01-04,81816.06,199,21,2,207
2022-02-18,Programmatic,StackAdapt,Persistent 24/7 attitude,02-04,2134.23,5,1,0,6
2022-02-18,Programmatic,StackAdapt,Integrated dedicated contingency,03-04,22798.36,55,6,1,58
2022-02-18,Programmatic,StackAdapt,Profound intangible policy,04-04,7475.49,18,2,0,19
2022-02-18,Programmatic,StackAdapt,Centralized modular throughput,05-04,113953.81,277,29,3,290
2022-02-18,Programmatic,StackAdapt,Automated uniform software,06-04,62160.38,147,15,1,157
2022-02-18,Programmatic,StackAdapt,Cross-platform static hierarchy,07-04,14806.52,36,4,0,38
2022-02-18,Programmatic,StackAdapt,Networked value-added time-frame,08-04,105512.77,259,27,3,274
2022-02-25,Programmatic,StackAdapt,Business-focused zero tolerance architecture,01-04,81257.68,199,21,2,212
2022-02-25,Programmatic,StackAdapt,Persistent 24/7 attitude,02-04,2169.16,5,1,0,6
2022-02-25,Programmatic,StackAdapt,Integrated dedicated contingency,03-04,22818.05,56,6,1,58
2022-02-25,Programmatic,StackAdapt,Profound intangible policy,04-04,7548.37,19,2,0,20
2022-02-25,Programmatic,StackAdapt,Centralized modular throughput,05-04,115983.7,289,30,3,306
2022-02-25,Programmatic,StackAdapt,Automated uniform software,06-04,60676.43,147,16,2,156
2022-02-25,Programmatic,StackAdapt,Cross-platform static hierarchy,07-04,14966.28,36,4,0,37
2022-02-25,Programmatic,StackAdapt,Networked value-added time-frame,08-04,105558.48,262,27,3,276
2022-03-04,Programmatic,StackAdapt,Business-focused zero tolerance architecture,01-01,129030.17,336,35,3,354
2022-03-04,Programmatic,StackAdapt,Persistent 24/7 attitude,02-01,3419.68,9,1,0,9
2022-03-04,Programmatic,StackAdapt,Integrated dedicated contingency,03-01,36199.25,89,9,1,94
2022-03-04,Programmatic,StackAdapt,Profound intangible policy,04-01,12251.6,31,3,0,33
2022-03-04,Programmatic,StackAdapt,Centralized modular throughput,05-01,188943.95,471,50,5,486
2022-03-04,Programmatic,StackAdapt,Automated uniform software,06-01,101142.68,253,26,3,269
2022-03-04,Programmatic,StackAdapt,Cross-platform static hierarchy,07-01,24846.43,61,6,1,63
2022-03-04,Programmatic,StackAdapt,Networked value-added time-frame,08-01,172362.45,411,44,4,429
