Date,Channel,Source,Campaign,Ad Set,Spend,Impressions,Clicks,Conversions,Video Views
2022-01-07,Paid_Search,Bing_Ads,Business-focused zero tolerance architecture,01-04,18374.03,46,5,0,0
2022-01-07,Paid_Search,Bing_Ads,Persistent 24/7 attitude,02-04,49205.1,120,13,1,0
2022-01-07,Paid_Search,Bing_Ads,Integrated dedicated contingency,03-04,87978.23,223,23,2,0
2022-01-07,Paid_Search,Bing_Ads,Profound intangible policy,04-04,34053.34,85,9,1,0
2022-01-07,Paid_Search,Bing_Ads,Centralized modular throughput,05-04,13958.76,34,4,0,0
2022-01-07,Paid_Search,Bing_Ads,Automated uniform software,06-04,134678.3,331,34,3,0
2022-01-07,Paid_Search,Bing_Ads,Cross-platform static hierarchy,07-04,70148.77,173,19,2,0
2022-01-07,Paid_Search,Bing_Ads,Networked value-added time-frame,08-04,64763.67,161,17,2,0
2022-01-14,Paid_Search,Bing_Ads,Business-focused zero tolerance architecture,01-04,24003.89,59,6,1,0
2022-01-14,Paid_Search,Bing_Ads,Persistent 24/7 attitude,02-04,63643.97,162,17,2,0
2022-01-14,Paid_Search,Bing_Ads,Integrated dedicated contingency,03-04,112335.23,274,29,3,0
2022-01-14,Paid_Search,Bing_Ads,Profound intangible policy,04-04,43564.36,107,11,1,0
2022-01-14,Paid_Search,Bing_Ads,Centralized modular throughput,05-04,18655.55,46,5,0,0
2022-01-14,Paid_Search,Bing_Ads,Automated uniform software,06-04,174361.99,441,46,4,0
2022-01-14,Paid_Search,Bing_Ads,Cross-platform static hierarchy,07-04,90400.12,218,23,2,0
2022-01-14,Paid_Search,Bing_Ads,Networked value-added time-frame,08-04,81804.08,210,22,2,0
2022-01-21,Paid_Search,Bing_Ads,Business-focused zero tolerance architecture,01-04,17966.93,46,5,0,0
2022-01-21,Paid_Search,Bing_Ads,Persistent 24/7 attitude,02-04,49676.73,125,13,1,0
2022-01-21,Paid_Search,Bing_Ads,Integrated dedicated contingency,03-04,87880.16,217,23,2,0
2022-01-21,Paid_Search,Bing_Ads,Profound intangible policy,04-04,34318.1,86,9,1,0
2022-01-21,Paid_Search,Bing_Ads,Centralized modular throughput,05-04,13974.6,35,4,0,0
2022-01-21,Paid_Search,Bing_Ads,Automated uniform software,06-04,134043.32,342,36,3,0
2022-01-21,Paid_Search,Bing_Ads,Cross-platform static hierarchy,07-04,68967.19,175,18,2,0
2022-01-21,Paid_Search,Bing_Ads,Networked value-added time-frame,08-04,65344.35,160,17,2,0
2022-01-28,Paid_Search,Bing_Ads,Business-focused zero tolerance architecture,01-04,12859.04,31,3,0,0
2022-01-28,Paid_Search,Bing_Ads,Persistent 24/7 attitude,02-04,34536.67,82,9,1,0
2022-01-28,Paid_Search,Bing_Ads,Integrated dedicated contingency,03-04,59817.65,152,16,1,0
2022-01-28,Paid_Search,Bing_Ads,Profound intangible policy,04-04,23662.0,58,6,1,0
2022-01-28,Paid_Search,Bing_Ads,Centralized modular throughput,05-04,9750.66,24,2,0,0
2022-01-28,Paid_Search,Bing_Ads,Automated uniform software,06-04,92553.21,225,24,2,0
2022-01-28,Paid_Search,Bing_Ads,Cross-platform static hierarchy,07-04,49879.09,125,13,1,0
2022-01-28,Paid_Search,Bing_Ads,Networked value-added time-frame,08-04,44350.62,111,11,1,0
2022-02-04,Paid_Search,Bing_Ads,Business-focused zero tolerance architecture,01-04,13230.27,32,3,0,0
2022-02-04,Paid_Search,Bing_Ads,Persistent 24/7 attitude,02-04,35619.64,89,9,1,0
2022-02-04,Paid_Search,Bing_Ads,Integrated dedicated contingency,03-04,63995.93,146,15,1,0
2022-02-04,Paid_Search,Bing_Ads,Profound intangible policy,04-04,24551.82,60,6,1,0
2022-02-04,Paid_Search,Bing_Ads,Centralized modular throughput,05-04,10229.52,26,3,0,0
2022-02-04,Paid_Search,Bing_Ads,Automated uniform software,06-04,98728.51,241,26,3,0
2022-02-04,Paid_Search,Bing_Ads,Cross-platform static hierarchy,07-04,51067.69,128,13,1,0
2022-02-04,Paid_Search,Bing_Ads,Networked value-added time-frame,08-04,46951.72,115,12,1,0
2022-02-11,Paid_Search,Bing_Ads,Business-focused zero tolerance architecture,01-04,17321.54,41,4,0,0
2022-02-11,Paid_Search,Bing_Ads,Persistent 24/7 attitude,02-04,47547.54,113,12,1,0
2022-02-11,Paid_Search,Bing_Ads,Integrated dedicated contingency,03-04,83039.23,193,20,2,0
2022-02-11,Paid_Search,Bing_Ads,Profound intangible policy,04-04,32137.66,82,9,1,0
2022-02-11,Paid_Search,Bing_Ads,Centralized modular throughput,05-04,13650.85,34,4,0,0
2022-02-11,Paid_Search,Bing_Ads,Automated uniform software,06-04,129022.23,309,32,3,0
2022-02-11,Paid_Search,Bing_Ads,Cross-platform static hierarchy,07-04,65766.65,166,18,2,0
2022-02-11,Paid_Search,Bing_Ads,Networked value-added time-frame,08-04,59501.72,143,15,1,0
2022-02-18,Paid_Search,Bing_Ads,Business-focused zero tolerance architecture,01-04,13552.0,33,4,0,0
2022-02-18,Paid_Search,Bing_Ads,Persistent 24/7 attitude,02-04,35241.31,88,9,1,0
2022-02-18,Paid_Search,Bing_Ads,Integrated dedicated contingency,03-04,61798.11,151,16,2,0
2022-02-18,Paid_Search,Bing_Ads,Profound intangible policy,04-04,25190.58,60,6,1,0
2022-02-18,Paid_Search,Bing_Ads,Centralized modular throughput,05-04,10520.01,26,3,0,0
2022-02-18,Paid_Search,Bing_Ads,Automated uniform software,06-04,99521.04,252,26,3,0
2022-02-18,Paid_Search,Bing_Ads,Cross-platform static hierarchy,07-04,50574.68,123,13,1,0
2022-02-18,Paid_Search,Bing_Ads,Networked value-added time-frame,08-04,46509.94,110,12,1,0
2022-02-25,Paid_Search,Bing_Ads,Business-focused zero tolerance architecture,01-04,9341.49,23,2,0,0
2022-02-25,Paid_Search,Bing_Ads,Persistent 24/7 attitude,02-04,25033.72,62,6,1,0
