Date,Channel,Source,Campaign,Ad Set,Spend,Impressions,Clicks,Conversions,Video Views
2022-01-07,Paid_Search,SA360,Business-focused zero tolerance architecture,01-04,9578.07,24,2,0,0
2022-01-07,Paid_Search,SA360,Persistent 24/7 attitude,02-04,14733.21,36,4,0,0
2022-01-07,Paid_Search,SA360,Integrated dedicated contingency,03-04,38619.89,97,10,1,0
2022-01-07,Paid_Search,SA360,Profound intangible policy,04-04,47247.55,117,12,1,0
2022-01-07,Paid_Search,SA360,Centralized modular throughput,05-04,42643.81,110,11,1,0
2022-01-07,Paid_Search,SA360,Automated uniform software,06-04,51783.87,128,13,1,0
2022-01-07,Paid_Search,SA360,Cross-platform static hierarchy,07-04,208086.25,526,55,5,0
2022-01-07,Paid_Search,SA360,Networked value-added time-frame,08-04,60828.24,153,16,2,0
2022-01-14,Paid_Search,SA360,Business-focused zero tolerance architecture,01-04,12596.91,31,3,0,0
2022-01-14,Paid_Search,SA360,Persistent 24/7 attitude,02-04,18993.1,46,5,0,0
2022-01-14,Paid_Search,SA360,Integrated dedicated contingency,03-04,51296.32,128,13,1,0
2022-01-14,Paid_Search,SA360,Profound intangible policy,04-04,60113.47,147,16,1,0
2022-01-14,Paid_Search,SA360,Centralized modular throughput,05-04,54771.96,129,13,1,0
2022-01-14,Paid_Search,SA360,Automated uniform software,06-04,69350.59,168,18,2,0
2022-01-14,Paid_Search,SA360,Cross-platform static hierarchy,07-04,266783.36,644,68,6,0
2022-01-14,Paid_Search,SA360,Networked value-added time-frame,08-04,78746.86,203,21,2,0
2022-01-21,Paid_Search,SA360,Business-focused zero tolerance architecture,01-04,9627.38,24,3,0,0
2022-01-21,Paid_Search,SA360,Persistent 24/7 attitude,02-04,14871.62,37,4,0,0
2022-01-21,Paid_Search,SA360,Integrated dedicated contingency,03-04,39681.21,98,10,1,0
2022-01-21,Paid_Search,SA360,Profound intangible policy,04-04,47044.17,114,12,1,0
2022-01-21,Paid_Search,SA360,Centralized modular throughput,05-04,43100.12,101,11,1,0
2022-01-21,Paid_Search,SA360,Automated uniform software,06-04,52780.58,127,13,1,0
2022-01-21,Paid_Search,SA360,Cross-platform static hierarchy,07-04,208052.14,517,54,5,0
2022-01-21,Paid_Search,SA360,Networked value-added time-frame,08-04,60473.29,151,16,2,0
2022-01-28,Paid_Search,SA360,Business-focused zero tolerance architecture,01-04,6694.76,16,2,0,0
2022-01-28,Paid_Search,SA360,Persistent 24/7 attitude,02-04,10460.6,25,3,0,0
